titulo ,score,date
R.O.D: The TV,7.55,"Sep 1, 2003"
Towa no Quon 1: Utakata no Kaben,7.36,"Jun 18, 2011"
.hack//Tasogare no Udewa Densetsu,6.59,"Jan 9, 2003"
Pale Cocoon,7.36,"Dec 10, 2005"
World Trigger 2nd Season,8.09,"Jan 10, 2021, 01:30 (JST)"
Keroro Gunsou,7.70,"Apr 3, 2004"
Captain Earth,6.42,"Apr 6, 2014, 01:58 (JST)"
Ibara no Ou,7.00,"Oct 9, 2009"
Final Fantasy VII: Last Order,7.33,"Sep 14, 2005"
Vividred Operation,6.46,"Jan 11, 2013, 01:30 (JST)"
Gundam Build Fighters,7.78,"Oct 7, 2013, 18:00 (JST)"
Rinne no Lagrange,6.92,"Jan 8, 2012, 22:00 (JST)"
Nobunagun,6.71,"Jan 5, 2014, 22:00 (JST)"
Accel World: Infinite∞Burst,6.66,"Jul 23, 2016"
Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,7.74,"Mar 8, 2019"
Phantasy Star Online 2 The Animation,6.35,"Jan 8, 2016, 01:46 (JST)"
Interstella5555: The 5tory of The 5ecret 5tar 5ystem,8.14,"Dec 1, 2003"
Urusei Yatsura,7.69,"Oct 14, 1981, 19:30 (JST)"
Date A Bullet: Dead or Bullet,7.48,"Aug 14, 2020"
Escaflowne,7.08,"Jun 24, 2000"
Psycho-Pass: Sinners of the System Case.2 - First Guardian,7.48,"Feb 15, 2019"
Karas,7.41,"Mar 25, 2005"
Sonic X,6.46,"Apr 6, 2003, 08:30 (JST)"
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato Desu kara,7.47,"Sep 26, 2010"
R.O.D: Read or Die,7.66,"May 23, 2001"
No Guns Life 2nd Season,7.06,"Jul 10, 2020, 01:28 (JST)"
Mobile Fighter G Gundam,7.56,"Apr 1, 1994, 17:00 (JST)"
Girly Air Force,6.18,"Jan 10, 2019, 23:00 (JST)"
Wolf's Rain OVA,8.03,"Jan 23, 2004"
Kono Minikuku mo Utsukushii Sekai,6.76,"Apr 2, 2004, 00:30 (JST)"
AKB0048,7.38,"Apr 29, 2012"
Mobile Suit Zeta Gundam,7.92,"Mar 2, 1985"
Gunslinger Girl: Il Teatrino,7.16,"Jan 7, 2008"
Gintama: Shiroyasha Koutan,8.34,"Sep 21, 2008"
Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,5.88,"Jan 7, 2016, 22:00 (JST)"
Psycho-Pass 3: First Inspector,7.87,"Mar 27, 2020"
Mahoromatic: Automatic Maiden,7.18,"Oct 5, 2001"
Ex-Arm,2.20,"Jan 11, 2021, 01:05 (JST)"
Terra e... (TV),7.92,"Apr 7, 2007, 18:00 (JST)"
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,7.47,"Jun 22, 2013"
Aria the Animation,7.69,"Oct 6, 2005, 01:30 (JST)"
DearS,6.61,"Jul 11, 2004, 00:30 (JST)"
Vampire Hunter D (2000),7.89,"Aug 25, 2000"
